Age,Carbohydrates (g/day),Protein (g/kg/day),Fat (calories from fat / total calories),Sex
1–3 y,130,0.87,0.35,Male
4–8 y,130,0.76,0.3,Male
1–3 y,130,0.87,0.35,Female
4–8 y,130,0.76,0.3,Female
9–13 y,130,0.76,0.3,Male
14–18 y,130,0.73,0.3,Male
19–30 y,130,0.66,0.27,Male
31–50 y,130,0.66,0.27,Male
51–70 y,130,0.66,0.27,Male
> 70 y,130,0.66,0.27,Male
9–13 y,130,0.76,0.3,Female
14–18 y,130,0.71,0.3,Female
19–30 y,130,0.66,0.27,Female
31–50 y,130,0.66,0.27,Female
51–70 y,130,0.66,0.27,Female
> 70 y,130,0.66,0.27,Female