fdc_id,description,serving,grams_per_serving,Starch,Vitamin E,Caffeine,Zinc,Fat,Dietary fiber,Magnesium,Protein,Vitamin C,Sodium,Potassium,Fluoride,Sugars,Calcium,Carbohydrates,Calories,Sucrose,Glucose,Folate,Saturated Fats,Iron,Fructose,Lactose,Vitamin A,Trans Fats,Cholesterol,Vitamin D,price_name,title,category,price_per_pound,price_per_gram,price
167762,"Strawberries, raw","1 cup, halves",152,0.0608,0.44079999999999997,0,0.21280000000000002,0.456,3.04,19.76,1.0184,89.376,1.52,232.56,6.688000000000001,7.432799999999999,24.32,11.673599999999999,48.64,0.7143999999999999,3.0248000000000004,36.48,0.022799999999999997,0.6232,3.7088,0,1.52,0,0,0,Strawberries*,Strawberries,fruit,2.106106888744091,0.004643174678442501,0.7057625511232601
167765,"Watermelon, raw","1 cup, balls",154,0,0.077,0,0.154,0.23099999999999998,0.616,15.4,0.9394,12.473999999999998,1.54,172.48,2.31,9.548,10.78,11.627,46.2,1.8634,2.4332000000000003,4.62,0.02464,0.3696,5.1743999999999994,0,43.12,0,0,0,Watermelon,Watermelon,fruit,0.2376865207049524,5.240095078946551e-4,0.08069746421577689
169092,"Melons, cantaloupe, raw","1 cup, balls",177,0.053099999999999994,0.0885,0,0.3186,0.33630000000000004,1.5930000000000002,21.24,1.4868000000000001,64.959,28.32,472.59,1.77,13.9122,15.93,14.4432,60.18,7.6995,2.7258,37.17,0.09026999999999999,0.37170000000000003,3.3099000000000003,0,299.13,0,0,0,Cantaloupe,Cantaloupe,fruit,0.8910977726143376,0.0019645359102769397,0.3477228561190183
169917,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","1 cup sections, without membranes",165,0,0.2475,NA,0.132,0.2475,3.630000000000001,18.15,1.5015,97.515,1.65,273.9,NA,14.025,70.95,20.691,80.85,7.062,3.2505,56.1,0.028050000000000002,0.2145,3.7125,0,19.8,0,0,0,"Oranges, navel",Oranges,fruit,0.5780334974943109,0.0012743467642601961,0.21026721610293236
169949,"Plums, raw","1 cup, sliced",165,0,0.429,0,0.165,0.462,2.3099999999999996,11.55,1.1549999999999998,15.675,0,259.05,3.3,16.368,9.9,18.843,75.9,2.5905,8.3655,8.25,0.028050000000000002,0.2805,5.065499999999999,0,28.05,0,0,0,Plums*,Plum,fruit,1.2980149219574495,0.0028616353947103334,0.47216984012720503
169988,"Celery, raw",1 cup chopped,101,0,0.27270000000000005,0,0.1313,0.17170000000000002,1.6160000000000003,11.11,0.6969,3.1310000000000002,80.8,262.6,4.04,1.3534,40.4,2.9997000000000003,14.14,0.0808,0.4040000000000001,36.36,0.04242,0.20200000000000004,0.3737,0,22.22,0,0,0,Celery*,Celery,vegetable,0.8991809569090717,0.0019823562957659567,0.20021798587236161
170362,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked",1 slice 1/4 of pie,183,45.2376,1.6287,NA,2.8548,15.738,4.3919999999999995,49.41,23.424,2.745,1273.68,358.68,NA,9.15,351.36,58.157399999999996,468.48,0,3.1109999999999998,NA,6.43062,1.4091,4.3187999999999995,0,84.18,0.31476,27.45,NA,"Pizza, from frozen",Pizza,compound,2.8413742362968217,0.006264163028221004,1.1463418341644438
170379,"Broccoli, raw",1 cup chopped,91,0,0.7098,0,0.37309999999999993,0.3367,2.366,19.11,2.5662000000000003,81.172,30.03,287.56,NA,1.547,42.77,6.0424,30.94,0.091,0.44589999999999996,57.33,0.10374,0.6642999999999999,0.6188,0.1911,28.21,0,0,0,Broccoli florets*,Broccoli,vegetable,1.8172676658245013,0.004006392674087068,0.36458173334192323
170393,"Carrots, raw",1 cup chopped,128,1.8304,0.8448,0,0.3072,0.3072,3.5839999999999996,15.36,1.1904000000000001,7.5520000000000005,88.32,409.6,4.096,6.067200000000001,42.24,12.2624,52.48,4.5952,0.7552,24.32,0.04096,0.384,0.7040000000000001,0,1068.8,0,0,0,"Carrots, baby*",Baby carrots,vegetable,1.3530706157972283,0.0029830125218196714,0.38182560279291794
170899,"Cheese, cheddar, sharp, sliced",1 slice (2/3 oz),19,NA,0.1482,0,0.7106,6.425800000000001,0,5.13,4.6075,0,122.36,14.44,NA,0.051300000000000005,135.09,0.4047,77.9,0,0,5.13,3.6799199999999996,0.0304,0,0.0342,49.97,0.22401,18.81,0.19,Sharp Cheddar,Cheddar Cheese,dairy,6.99,0.015410324697084605,0.2927961692446075
174706,"Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",4 oz,113,NA,NA,0,8.0456,14.012,0,24.86,22.487,0,90.4,368.38,NA,0,6.78,0,215.83,NA,NA,3.39,5.21947,2.7233000000000005,NA,NA,4.52,0.85315,76.84,0.113,Sirloin Steak,Sirloin Steak,protein,8.07,0.017791319070883084,2.0104190550097885
336079,"Milk, fat free (skim)",1 cup,244,NA,0.024399999999999998,0,1.0248,0.19519999999999998,0,26.84,8.2228,0,102.48,380.64,NA,12.4196,297.68,12.1024,82.96,NA,NA,12.2,0.13663999999999998,0.07319999999999999,NA,NA,148.84,NA,4.88,2.928,Skim Milk,Skim Milk,dairy,0.37674418604651166,8.305794327204e-4,0.2026613815837776
336119,"Yogurt, Greek, plain, nonfat milk",1 cup (8 fl oz),245,NA,0.0245,0,1.274,0.9555,0,26.95,24.9655,0,88.2,345.45,NA,7.938000000000001,269.5,8.82,144.55,NA,NA,17.15,0.28665,0.1715,NA,NA,2.45,NA,12.25,0,Nonfat Greek Yogurt,Nonfat Greek Yogurt,dairy,2.345,0.005169844265330958,1.2666118450060848
336563,"Ice cream, regular, chocolate",1 cup,148,NA,0.444,4.44,0.8583999999999999,16.28,1.776,42.92,5.624,1.036,112.48,368.52,NA,37.532799999999995,161.32,41.736,319.68,NA,NA,23.68,10.064,1.3764,NA,NA,174.64,NA,50.32,0.29600000000000004,Ice cream4,Chocolate Ice Cream,dessert,1.6123816555853894,0.0035546959725598986,0.526095003938865
336690,"Pudding, ready-to-eat, chocolate and non-chocolate flavors combined",1 cup,267,NA,0.8009999999999999,2.67,0.6675,11.1873,0,29.37,4.7259,0.534,392.49,331.08,NA,45.5769,133.5,60.876000000000005,363.12,NA,NA,5.34,3.0438,1.8156,NA,NA,21.36,NA,2.67,0,"Pudding, ready-to-eat",Pudding,dessert,1.4936963448148368,0.0032930394381180377,0.879241529977516
336864,"Ground beef, raw",1 cup,226,NA,0.38420000000000004,0,9.559800000000001,43.0982,0,38.42,39.41440000000001,0,149.16,619.24,NA,0,38.42,0,558.22,NA,NA,15.82,16.47766,4.4521999999999995,NA,NA,9.04,NA,160.46,0.226,Ground Beef,Ground Beef,protein,4.12,0.009083052611157164,2.0527698901215192
337107,"Chicken, breast, NS as to cooking method, skin not eaten","1 cup, cooked, diced",135,NA,0.8640000000000001,0,1.269,5.2379999999999995,0,39.15,41.823,0,684.45,510.3,NA,0,9.45,0,222.75,NA,NA,9.45,1.0678500000000002,0.621,NA,NA,13.5,NA,135,0,Boneless Chicken Breast,Chicken Breast,protein,3.21,0.007076844388789926,0.95537399248664
339003,"Egg, whole, raw",1 cup (4.86 eggs),243,NA,2.5515,0,3.1347000000000005,23.109299999999998,0,29.16,30.520799999999998,0,345.06,335.34,NA,0.8991,136.08,1.7495999999999998,347.49,NA,NA,114.21,7.5961799999999995,4.2525,NA,NA,388.8,NA,903.96,4.86,Eggs,Eggs,protein,0.9533333333333333,0.0021017419472418677,0.5107232931797738
339229,"Black, brown, or Bayo beans, dry, cooked, fat not added in cooking",1 cup,172,NA,1.4791999999999998,0,1.9092000000000002,0.9288000000000001,14.963999999999999,120.4,15.153200000000002,0,369.8,607.16,NA,0.5504,46.44,40.5576,225.32,NA,NA,254.56,0.23736000000000002,3.5947999999999998,NA,NA,0,NA,0,0,Black Beans,Black Beans,grain,0.544,0.001199315684579975,0.2062822977477557
339504,"Bread, white",1 cup,40,NA,0.08800000000000001,0,0.29600000000000004,1.3319999999999999,1.08,9.2,3.54,0,196,50.4,NA,2.2680000000000002,57.6,19.768,106.4,NA,NA,68.4,0.2792,1.444,NA,NA,0,NA,0,0,White Bread,White Bread,grain,1.34,0.0029541967230462623,0.1181678689218505
339612,"Bread, whole wheat",1 small or thin/very thin slice,24,NA,0.132,0,0.42480000000000007,0.84,1.44,18,2.9879999999999995,0,109.2,60.96,NA,1.0415999999999999,38.64,10.250399999999999,60.48,NA,NA,10.08,0.17328,0.5928,NA,NA,0,NA,0,0,Wheat Bread,Wheat Bread,grain,1.99,0.004387202596165717,0.10529286230797721
339743,"Muffin, fruit",1 Hostess package of 5 mini muffins (2 oz),57,NA,0.9290999999999999,0,0.2109,9.1599,0.627,5.7,2.5593,0.513,191.52,68.97,NA,17.9379,25.08,30.21,213.75,NA,NA,41.61,1.62108,0.7410000000000001,NA,NA,11.97,NA,17.1,0.057,Muffins,Blueberry Muffin,dessert,4.041801225252326,0.008910653682719991,0.5079072599150395
339768,"Cake or cupcake, NS as to type",1 regular cupcake,50,NA,2.165,3,0.29,10.025,1.1,15.5,1.74,0.05,174,135,NA,19.98,15,26.42,194.5,NA,NA,11.5,2.9584999999999995,1.52,NA,NA,0.5,NA,11,0,Cupcakes,Cupcakes,dessert,2.716831871154524,0.00598959388868085,0.2994796944340425
339850,"Cookie, chocolate chip","1 cup, bite size",81,NA,1.6280999999999997,8.91,0.5832,20.0232,1.62,33.21,4.130999999999999,0,251.91,138.51,NA,26.649,17.01,52.9416,398.52,NA,NA,74.52,6.55371,4.5198,NA,NA,0,NA,0,0,Cookies,Cookies,dessert,2.7319117152947974,0.006022839281325062,0.48784998178732997
340112,"Doughnut, raised or yeast","1 small doughnut (approx 3"" dia)",31,NA,0.44329999999999997,0,0.1891,7.036999999999999,0.6510000000000001,5.27,1.9034,0.37199999999999994,97.96,31.62,NA,7.0525,31.31,14.8583,130.51,NA,NA,48.05,2.93043,0.7378,NA,NA,1.55,NA,9.3,0.031,Donuts,Donuts,dessert,2.8002134755050134,0.0061734190098260405,0.19137598930460725
340119,Breakfast tart,1 Pop Tart,54,NA,0.3996,0,0.1944,4.8708,0.972,5.94,2.1654,0,167.94,46.44,NA,16.74,6.48,38.788199999999996,207.9,NA,NA,62.1,1.66914,2.3489999999999998,NA,NA,109.08,NA,0,0,Toaster pastries,Pop-Tart,dessert,2.029851438504475,0.004475060050672134,0.24165324273629527
340176,"Crackers, graham","1 cup, crushed",85,NA,1.2834999999999999,0,0.816,9.01,2.89,34,5.6865,0,390.15,144.5,NA,21.1225,65.45,66.011,365.5,NA,NA,120.7,1.38805,3.213,NA,NA,0,NA,0,0,Graham crackers,Graham Crackers,dessert,2.5910257884936256,0.005712238726638974,0.48554029176431285
340267,"Pretzels, hard",1 cup,40,NA,0.18799999999999997,0,0.41600000000000004,1.172,1.36,11.6,4.016,0.84,496,89.2,NA,0.884,10.8,32.156,153.6,NA,NA,112.4,0.1564,1.8319999999999999,NA,NA,0,NA,0,0,Pretzels,Pretzels,compound,2.6036727359887335,0.005740120495927471,0.22960481983709885
340351,"Spaghetti, cooked, fat not added in cooking","1 cup, cooked",140,NA,0.084,0,0.7140000000000001,1.288,2.52,25.2,8.064,0,324.8,61.6,NA,0.784,9.8,42.952,219.8,NA,NA,165.2,0.245,1.778,NA,NA,0,NA,0,0,Pasta,Pasta,grain,0.5565217391304348,0.0012269214164501022,0.17176899830301431
340453,"Rice, white, cooked, fat not added in cooking","1 cup, cooked",158,NA,0.0632,0,0.7742,0.4424,0.632,18.96,4.2186,0,387.1,55.3,NA,0.079,15.8,44.2242,203.82,NA,NA,151.68,0.12166,1.896,NA,NA,0,NA,0,0,White Rice,Rice,grain,0.24,5.291098608441065e-4,0.08359935801336883
341504,Raisins,1 cup,145,NA,0.174,0,0.319,0.667,5.365,46.4,4.451499999999999,3.335,15.95,1086.05,NA,85.82549999999999,72.5,114.811,433.55,NA,NA,7.25,0.08410000000000001,2.7259999999999995,NA,NA,0,NA,0,0,"Raisins, dried*",Raisins,fruit,2.3738725378376246,0.005233497367320466,0.7588571182614675
341529,"Banana, raw","1 cup, NFS",150,NA,0.15,0,0.225,0.495,3.9,40.5,1.635,13.05,1.5,537,NA,18.345,7.5,34.26,133.5,NA,NA,30,0.168,0.39,NA,NA,4.5,NA,0,0,Bananas,Banana,fruit,0.4608389370612445,0.0010159767744167545,0.15239651616251318
341562,"Grapes, raw, NS as to type","1 cup, seedless",151,NA,0.2869,0,0.1057,0.2416,1.359,10.57,1.0872,4.832000000000001,3.02,288.41,NA,23.3748,15.1,27.331000000000003,104.19,NA,NA,3.02,0.08154,0.5436,NA,NA,4.53,NA,0,0,Grapes,Grapes,fruit,1.6516979042014515,0.0036413735343688853,0.5498474036897016
341591,"Peach, cooked or canned, drained solids",1 cup,222,NA,2.6418,0,0.1998,0.3996,2.6639999999999997,11.1,1.1543999999999999,1.5539999999999998,13.32,208.68,NA,32.5452,6.66,40.9146,159.84,NA,NA,19.98,0.028859999999999997,0.5994,NA,NA,68.82,NA,0,0,"Peaches, canned*",Canned Peaches,fruit,1.114872361183348,0.0024578748328527578,0.5456482128933122
341608,"Pineapple, cooked or canned, NS as to sweetened or unsweetened; sweetened, NS as to type of sweetener","1 cup, crushed, sliced, or chunks",249,NA,0.024900000000000002,0,0.24900000000000003,0.19920000000000002,1.9920000000000002,34.86,1.0458,23.655,2.49,303.78,NA,35.9805,34.86,39.092999999999996,149.4,NA,NA,12.45,0.01494,0.6972000000000002,NA,NA,4.98,NA,0,0,"Pineapple, canned*",Canned Pineapple,fruit,0.9399879248726617,0.002072320333852144,0.516007763129184
341892,"White potato chips, lightly salted",1 cup,20,NA,1.544,0,0.302,7.077999999999999,0.84,12.4,1.344,5.46,37.4,260.8,NA,0.068,4.8,10.708,112,NA,NA,11.6,1.098,0.286,NA,NA,0,NA,0,0,Potato chips,Potato Chips,compound,3.8611602568208614,0.008512408192430336,0.17024816384860672
342480,"Sweet potato, baked, peel not eaten, fat not added in cooking",1 cup,200,NA,1.42,0,0.64,0.3,6.6,54,4.02,39.2,72,950,NA,12.96,76,41.42,180,NA,NA,12,0.10400000000000001,1.38,NA,NA,1922,NA,0,0,"Sweet potatoes, cooked*",Sweet potatoes,grain,0.9195118852339632,0.0020271783568360183,0.40543567136720365
342633,"Pepper, sweet, red, raw","1 cup, chopped",149,NA,2.3542,0,0.3725,0.44699999999999995,3.1290000000000004,17.88,1.4750999999999999,190.273,5.96,314.39,NA,6.258000000000001,10.43,8.9847,46.19,NA,NA,68.54,0.040229999999999995,0.6406999999999999,NA,NA,233.93,NA,0,0,Red peppers*,Red peppers,vegetable,3.0122567896480237,0.006640894878322421,0.9894933368700408
343813,"Butter, stick, salted",1 tablespoon,14.2,NA,0.32943999999999996,0,0.012779999999999998,11.517619999999999,0,0.284,0.12069999999999999,0,91.306,3.4079999999999995,NA,0.00852,3.4079999999999995,0.00852,101.814,NA,NA,0.42599999999999993,7.294256000000001,0.0028399999999999996,NA,NA,97.12799999999999,NA,30.53,0,Salted Butter,Salted Butter,dairy,3.24,0.00714298312139544,0.10143036032381525
344031,Ice pop,1 miniature popsicle,26,NA,0,0,0.039,0.062400000000000004,0,0.26,0,0.182,1.82,3.9,NA,3.5516,0,4.9998000000000005,20.54,NA,NA,0,0.0033799999999999998,0.1404,NA,NA,0,NA,0,0,Popsicles and bars5,Popsicle,dessert,0.34,7.495723028624844e-4,0.019488879874424596
